session;created;modified;ended;expired;datenschutz;tfe_tfe_01;tfe_tfe_02;tfe_tfe_03;tfe_tfe_04;tfe_tfe_05;tfe_tfe_06;tfe_tfe_07;tfe_tfe_08;tfe_tfe_09;tfe_tfe_10;tfe_tfe_11;tfe_tfe_12;tfe_did_01;tfe_did_02;tfe_did_03;tfe_did_04;tfe_did_05;tfe_did_06;tfe_did_07;tfe_did_08;tfe_did_09;tfe_did_10;tfo_tfo_01;tfo_tfo_02;tfo_tfo_03;tfo_tfo_04;tfo_tfo_05;tfo_tfo_06;tfo_tfo_07;tfo_tfo_08;tfo_tfo_09;tfo_sel_01;tfo_sel_02;tfo_sel_03;tfo_sel_04;tfo_sel_05;tfo_sel_06;tfo_sel_07;tfo_sel_08;tfo_sel_09;tfo_enr_01;tfo_enr_02;tfo_enr_03;tfo_enr_04;tfo_enr_05;tfo_enr_06;tfo_enr_07;tfo_enr_08;tfo_enr_09;tfo_ada_01;tfo_ada_02;tfo_ada_03;tfo_ada_04;tfo_ada_05;tfo_ada_06;tfo_ada_07;tfo_ada_08;tfo_ada_09;rel_rel_01;rel_rel_02;rel_rel_03;rel_rel_04;rel_rel_05;rel_rel_06;rel_rel_07;rel_rel_08;rel_rel_09;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
WQ2_C-RUFgpO3beQDskeFpKSmKfmvRYvUc4UtKsEFf3NNpNdNl7M7lXKBwjogzOd;14.01.2019 18:18;14.01.2019 18:20;14.01.2019 18:20;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;2;;;
WQ2_C-RUFgpO3beQDskeFpKSmKfmvRYvUc4UtKsEFf3NNpNdNl7M7lXKBwjogzOd;14.01.2019 18:20;14.01.2019 18:22;14.01.2019 18:22;;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;;1;1;;;
1IvFokZLh4EPXJA9kHwa5v6ClzyR4o22EbXuApkWwUTGe0BUL2ZLGlHE0VrxgxD7;14.01.2019 18:21;14.01.2019 18:21;;;;;;;;;;;2;;;1;;;;;;3;3;;;;;2;2;;;;;;;5;4;2;;;;4;;;;;6;;;;;;4;5;;;5;;;;6;;5;;;;;;;;;;;;;;;;
WQ2_C-RUFgpO3beQDskeFpKSmKfmvRYvUc4UtKsEFf3NNpNdNl7M7lXKBwjogzOd;14.01.2019 18:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aw24tDql5mwOs119HqhrQaLKMquwerVIQJg4MGg-7cht5ezpyk3jvra3iQcrC55e;14.01.2019 18:25;14.01.2019 18:28;14.01.2019 18:28;;1;4;3;3;3;4;4;3;3;3;4;2;3;3;3;6;3;3;4;3;3;4;3;3;3;4;4;4;3;3;4;4;3;3;4;3;4;3;3;3;4;3;3;4;4;4;2;4;4;3;4;3;4;4;3;2;4;3;4;3;3;3;3;3;3;3;4;2;6;asdfadf;14;1;;;
Aw24tDql5mwOs119HqhrQaLKMquwerVIQJg4MGg-7cht5ezpyk3jvra3iQcrC55e;14.01.2019 18:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cautiousRoseateSpoonbillXXX93D4nYflvfme7o68DbiGPY0sT9dfAna7tdA0N;14.01.2019 18:30;14.01.2019 18:31;14.01.2019 18:31;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
cautiousRoseateSpoonbillXXX93D4nYflvfme7o68DbiGPY0sT9dfAna7tdA0N;14.01.2019 18:34;14.01.2019 18:35;14.01.2019 18:35;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
doubtfulKoalaXXXdXwM5_6T0Wmhb_9OJcloY9o75YJQ1GhdQI9Glw6VsfTTuy52;14.01.2019 18:35;14.01.2019 18:35;14.01.2019 18:35;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
doubtfulKoalaXXXdXwM5_6T0Wmhb_9OJcloY9o75YJQ1GhdQI9Glw6VsfTTuy52;14.01.2019 18:37;14.01.2019 18:37;14.01.2019 18:37;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
