session;created;modified;ended;expired;datenschutz;flen_AN1;flen_UM1;flen_AN2;flen_UM2;flen_WI1;flen_AN3;flen_UM3;flen_WI2;flen_AN4;flen_UM4;flen_WI3;tc_st;tc_sr;tfe_1_st;tfe_2_st;tfe_3_st;tfe_4_st;tfe_5_st;sel_1_st;sel_2_st;sel_3_st;sel_4_st;sel_5_st;enr_1_st;enr_2_st;enr_3_st;enr_4_st;enr_5_st;rel_1_st;rel_2_st;rel_3_st;rel_4_st;tfe_1_sr;tfe_2_sr;tfe_3_sr;tfe_4_sr;tfe_5_sr;sel_1_sr;sel_2_sr;sel_3_sr;sel_4_sr;sel_5_sr;enr_1_sr;enr_2_sr;enr_3_sr;enr_4_sr;enr_5_sr;rel_1_sr;rel_2_sr;rel_3_sr;rel_4_sr;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
U9bxICrwZAHKeSoj0jAqGEGZ0NJ5fZ1KKIPe-8hY_uamzj3vTCa9Mx17nIxNJVb8;18.05.2019 13:48;18.05.2019 14:08;18.05.2019 14:08;NA;1;3;4;4;3;4;4;4;4;4;4;3;2;1;4;1;2;4;1;5;4;6;6;5;2;4;4;6;1;2;6;6;6;6;6;6;6;6;5;5;5;1;1;6;2;3;6;6;6;6;6;5;5;NA;8;5;NA;13, 37;NA
GRotIGj5REzm73cP_B0WDKsqwJJ-s2iA54yK17vdIdHsC_FS8S5W6JkzOm3IZG8y;18.05.2019 13:50;18.05.2019 14:07;18.05.2019 14:07;NA;1;4;4;3;3;4;4;2;1;2;3;3;2;1;1;2;1;4;2;5;6;4;4;6;5;3;5;6;2;5;6;5;5;4;3;2;4;2;2;4;5;5;2;3;2;5;5;4;4;5;5;4;5;NA;10;5;NA;18, 44;NA
JUwHLqS1F2AcSy0MGDF_BVSork_UouhbWXeqXOgEVN1RArHtbcdbkzX3L9rAzGmN;18.05.2019 13:51;21.05.2019 01:38;NA;NA;1;3;4;4;4;3;3;3;3;3;2;2;2;1;5;2;3;3;4;5;4;5;4;4;2;3;5;3;3;5;4;5;4;4;3;4;3;3;4;5;4;4;4;3;5;5;5;4;5;5;5;5;5;NA;10;5;NA;18, 24;NA
ISth2FEQsEr54v7evikEhVz0M-GANY3h6NkFcuMY7d0Ev34y2LvMLwzvYKUpV0zB;18.05.2019 13:55;18.05.2019 14:06;18.05.2019 14:06;NA;1;2;3;2;2;4;3;3;2;3;3;1;2;1;4;3;3;3;2;4;4;3;4;2;5;6;6;6;5;5;4;4;5;4;2;2;2;2;2;3;1;1;2;5;5;5;5;5;6;6;5;4;5;NA;10;5;NA;13, 14, 23, 35;NA
OKlAMteJWaa8JK7SYLbPCK1gtYtWgvxO5R7Dtpu1Eh83kiMc7n0yacUCSYdjIGMS;18.05.2019 13:55;18.05.2019 14:05;18.05.2019 14:05;NA;1;3;4;3;4;3;3;3;1;3;4;2;2;1;1;1;2;2;1;2;2;2;1;4;5;5;5;5;5;5;4;5;5;2;2;1;1;2;5;6;5;2;2;4;5;5;4;5;6;5;5;6;5;NA;8;5;NA;13, 31;NA
lir6_AXsXuqcGCa_e0TXihi3laCeEF6cNq_-F4zXM9D3UKmCmebMWi5cSfMnJ5cT;18.05.2019 13:55;18.05.2019 14:08;18.05.2019 14:08;NA;1;4;1;3;1;2;3;2;1;3;1;3;2;1;3;3;1;3;2;6;6;6;6;6;3;4;4;3;4;6;6;4;6;4;4;1;4;2;5;5;5;5;5;4;4;4;4;4;6;5;5;4;5;NA;12;5;NA;12, 13;NA
WUAz6hGT-ymvA0uzGi9Jfw5Fs8OnlM_q0LT4DHA4U8ot9SiT62DgEgOaF1Au3qXD;18.05.2019 13:56;18.05.2019 14:12;18.05.2019 14:12;NA;1;4;4;4;2;3;4;3;2;4;4;2;2;1;5;1;2;4;2;3;5;4;2;2;6;4;5;5;5;6;5;6;5;2;1;1;2;2;2;5;3;3;2;6;5;6;6;6;6;5;6;6;5;NA;10;5;NA;37, 50;NA
7YXQjuHHT9iO5Hg3trgnlGVLzTnW5lQmjbxh7UNuPhl_tZYNBypDM2qDpF-Z866v;18.05.2019 13:56;18.05.2019 14:08;18.05.2019 14:08;NA;1;4;4;4;1;3;3;3;2;4;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;2;4;3;3;3;1;5;1;3;3;5;5;5;NA;16;5;NA;14, 31;NA
bwCg6_IKiFpjTF4nsZ1XFcdgAyrxnQ7T3wkjlolvvNsgfwAXm0kUgJXIPubuyvhE;18.05.2019 13:56;18.05.2019 14:11;18.05.2019 14:11;NA;1;4;3;4;2;3;4;3;1;4;3;2;2;1;2;5;1;3;2;4;4;3;3;3;5;4;5;5;4;5;5;5;5;2;1;2;4;2;3;5;3;3;3;4;5;3;3;NA;5;2;6;6;5;NA;8;5;NA;5, 31;NA
hGpr8wVa-WYNb5pgrbBfDl6W5AXOWIFV-l02JZYTHPjUAyVUVxLmdHLp3BP7DLRK;18.05.2019 13:56;18.05.2019 14:11;18.05.2019 14:11;NA;1;4;3;4;3;4;4;3;2;3;3;2;2;1;3;5;1;3;2;4;5;4;3;3;4;6;4;4;3;5;6;5;4;3;2;4;2;1;5;5;6;5;5;4;5;4;2;3;5;5;5;4;5;NA;8;5;NA;5, 31, 44;NA
